time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00088 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00089 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00090 0002 00061 -67.07662 0.10000 1.00000 0 0 0
    0.00 00091 0002 00062 -72.86296 0.10000 1.00000 0 0 0
    0.00 00092 0002 00063 -72.89736 0.10000 1.00000 0 0 0
    0.00 00093 0003 00062 -80.20355 0.10000 1.00000 0 0 0
    0.00 00094 0002 00063 -76.34273 0.10000 1.00000 0 0 0
    0.00 00095 0002 00061 -78.30078 0.10000 1.00000 0 0 0
    0.00 00096 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00097 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00098 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00099 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00100 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00101 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00102 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00103 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00104 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00105 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00106 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00107 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00108 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00109 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00110 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00111 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00112 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00113 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00114 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00115 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00116 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00117 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00118 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00119 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00120 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00121 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00122 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00123 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00124 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00125 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00126 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00127 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00128 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00129 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00130 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00131 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00132 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00133 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00134 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00135 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00136 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00137 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00138 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00139 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00140 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00141 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00142 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00143 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00144 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00145 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00146 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00147 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00148 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00149 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00150 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00151 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00152 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00153 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00154 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00155 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00156 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00157 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00158 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00159 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00160 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00161 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00162 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00163 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00164 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00165 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00166 0002 00062 -66.88348 0.10000 1.00000 0 0 0
    0.00 00167 0002 00062 -71.14180 0.10000 1.00000 0 0 0
    0.00 00168 0002 00063 -87.07936 0.10000 1.00000 0 0 0
    0.00 00169 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00170 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00171 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00172 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00173 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00174 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00175 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00176 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00177 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00178 0002 00063 -66.90135 0.10000 1.00000 0 0 0
    0.00 00179 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00180 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00181 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00182 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00183 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00184 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00185 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00186 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00187 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00188 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00189 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00190 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00191 0002 00062 -67.09478 0.10000 1.00000 0 0 0
